time,open,high,low,close
10/24/2013,203.94,206.6,156.2,193.87
10/25/2013,194,194,167.67,186.6
10/26/2013,187.5,190,177,179.56
10/27/2013,180.39,195,179.5,194
10/28/2013,194.99,197.5,190.8,196.62
10/29/2013,196.62,205,195.32,204.69
10/30/2013,204,206,195,197.54
10/31/2013,197.58,203.75,195.1,203.54
11/1/2013,203.54,203.54,200.23,202.15
11/2/2013,202.14,205.15,201.2,204.86
11/3/2013,204.86,210,203.51,210
11/4/2013,210,230.4,207.22,226.83
11/5/2013,227.29,250.79,226,242.9
11/6/2013,242.9,265,241.11,263.24
11/7/2013,263.24,297.8,263.24,291
11/8/2013,291,334.45,288.81,334
11/9/2013,333.9,363.65,298.95,341.24
11/10/2013,341.24,341.24,265.01,323
11/11/2013,323,349.9,310.1,343.91
11/12/2013,343.63,357,340.01,354.96
11/13/2013,354.94,399.89,354.94,393.5
11/14/2013,393.5,421.97,381,416.95
11/15/2013,416.88,431.36,390,412
11/16/2013,412.07,447.47,406.92,434.53
11/17/2013,434.53,480,434.53,477.38
11/18/2013,478.1,669.55,471.23,669.01
11/19/2013,669,755,378,536.01
11/20/2013,536.01,619,440,599
11/21/2013,600,730,580.37,720
11/22/2013,720,799.8,683.2,799.8
11/23/2013,794,874.81,785,829.5
11/24/2013,829.15,842.78,747,800.05
11/25/2013,800.01,838.2,770.1,816.93
11/26/2013,811.95,919,801,916.86
11/27/2013,915.01,969,879.99,963.86
11/28/2013,963.98,1050.18,931,1012.98
11/29/2013,1012,1141,988.22,1132
11/30/2013,1131.99,1163,1080,1119.8
12/1/2013,1119.52,1123.11,795.6,948
12/2/2013,955,1057,925.16,1040
12/3/2013,1037.11,1088,1000,1055
12/4/2013,1055,1153.27,1052.1,1131.76
12/5/2013,1135,1138.58,848.42,1035.67
12/6/2013,1020.51,1033.13,796.73,810.01
12/7/2013,809.72,844,542.38,693.3
12/8/2013,693.3,797,651,784.9
12/9/2013,787,899.99,766.66,899.91
12/10/2013,899.91,989.6,895.01,980
12/11/2013,979.07,988,804,879.04
12/12/2013,879.04,898.9,832.01,871.22
12/13/2013,871.22,920.42,850,885.15
12/14/2013,888.47,895,841.01,854.99
12/15/2013,850.78,869.98,803.51,862
12/16/2013,861.98,864,651.34,688.01
12/17/2013,690.5,750,612.51,675
12/18/2013,675,680.7,382.21,519.75
12/19/2013,520,700,492.91,684.01
12/20/2013,685.1,719.97,570,608.77
12/21/2013,610,648.88,550,596.92
12/22/2013,595.07,690,575.61,614.11
12/23/2013,612.66,665,607.77,654.76
12/24/2013,654.76,668.8,628.11,653
12/25/2013,653.57,681.24,636.99,680.99
12/26/2013,679.01,764.32,677.57,747.83
12/27/2013,747.83,762.1,702.26,723.98
12/28/2013,723.98,736.01,682.22,715
12/29/2013,715,732,703.45,728
12/30/2013,728.01,740,722.81,736.5
12/31/2013,736.51,739,709,732
1/1/2014,732,757.99,729.01,754.22
1/2/2014,751.88,798.7,742.5,785.81
1/3/2014,784.19,818.99,767.62,809.4
1/4/2014,808.24,830,790.2,828.79
1/5/2014,828.79,948,826.07,903.43
1/6/2014,905,995,876,919.2
1/7/2014,915.8,943,788.47,788.47
1/8/2014,785,849.79,765,823.45
1/9/2014,823.94,848,779.78,826.54
1/10/2014,825.5,861.4,799.41,852.61
1/11/2014,851.63,909.96,849.51,895
1/12/2014,895,905,826.46,844.05
1/13/2014,844.04,844.05,783.11,823
1/14/2014,823.99,837,800,815.99
1/15/2014,815.99,850.26,805.18,841.14
1/16/2014,841.14,849,810.01,814.4
1/17/2014,814.4,821,765,794.48
1/18/2014,796.97,817.12,796,811.83
1/19/2014,810,841.62,791.01,841.13
1/20/2014,841.5,845,815,826.01
1/21/2014,826.02,834.5,814,824.89
1/22/2014,824.88,824.99,801,819.2
1/23/2014,819.2,823.28,801.1,809.69
1/24/2014,810.95,811.74,767.02,779.19
1/25/2014,780,817,773.4,806.8
1/26/2014,806.81,834,795.01,814.92
1/27/2014,814.67,823,725,749.34
1/28/2014,750.95,812.93,740.01,785.51
1/29/2014,785.51,804.95,781.99,794.18
1/30/2014,794.21,812.44,770.7,799.99
1/31/2014,799.99,809.98,791,803
2/1/2014,803,827.38,802.59,813.03
2/2/2014,813.23,825.21,810.23,815
2/3/2014,814.94,815,800.5,808.5
2/4/2014,806.99,812.98,796.83,802.99
2/5/2014,802,810,775,781.8
2/6/2014,780.01,803,752,763.06
2/7/2014,764,766.45,619,705
2/8/2014,705.01,723,662.01,674
2/9/2014,680.49,755.42,666.21,687.37
2/10/2014,688,713,530,687.81
2/11/2014,688.34,720,631,675.1
2/12/2014,677,685.19,631.58,652.72
2/13/2014,650.04,660,601.54,605.46
2/14/2014,609.4,712.9,538.01,669
2/15/2014,670.34,673.17,628.88,653.8
2/16/2014,655.83,670,590.01,619.01
2/17/2014,621,664.99,610,633.66
2/18/2014,633.66,650,609.99,627.7
2/19/2014,627.7,636,617,624.85
2/20/2014,623.01,631,560.9,561.86
2/21/2014,561.86,589,530.01,584.22
2/22/2014,581.35,619.88,562.15,612.5
2/23/2014,610.77,646,599.78,611.99
2/24/2014,609.9,629,514.02,535
2/25/2014,535.49,545.8,400,535.48
2/26/2014,534.34,610,530,585.23
2/27/2014,585.24,599.99,571.22,583
2/28/2014,584.7,591.39,541,550.1
3/1/2014,551.8,576,535,567.47
3/2/2014,567.46,570.99,553,561.36
3/3/2014,565.38,710,562.02,677.69
3/4/2014,677.69,702.24,633.64,673.28
3/5/2014,673.27,679.97,651.9,669.99
3/6/2014,669,675.71,650,669.57
3/7/2014,669.57,670,613.45,632.79
3/8/2014,632.79,638.4,604.5,620.11
3/9/2014,620.02,653,613.03,640
3/10/2014,638.4,646.59,609,629.4
3/11/2014,628.02,644.44,614.17,632.1
3/12/2014,631.72,656.95,628.8,634.95
3/13/2014,634.95,650,632,641.01
3/14/2014,641.02,645,625.29,630.42
3/15/2014,630.99,639.88,625.32,637.24
3/16/2014,637.58,639.39,629.02,633.04
3/17/2014,634.99,634.99,619.46,622.31
3/18/2014,622.97,624.17,591.13,612
3/19/2014,613.84,623.95,605.11,611.2
3/20/2014,610.01,611.3,578.66,585.6
3/21/2014,585.6,607.88,556,570
3/22/2014,569.99,571.99,541,565.31
3/23/2014,564.31,569.48,556.74,562.28
3/24/2014,558.22,592.6,547,584.98
3/25/2014,585.9,587.48,568.86,583.77
3/26/2014,583.77,592,565,581.36
3/27/2014,581.48,581.59,466.1,474
3/28/2014,475,532,468.3,501.17
3/29/2014,502.01,508,486.97,492
3/30/2014,491.99,492,436,460
3/31/2014,460,486.7,438,454.83
4/1/2014,454.81,509.98,452.04,478.98
4/2/2014,478.98,494.98,430,439
4/3/2014,438.9,465,416.11,451.03
4/4/2014,451.03,459.5,430.77,452.2
4/5/2014,450,464.8,441.25,464.8
4/6/2014,464.8,465,450.2,456.27
4/7/2014,459.97,464.19,446,447.11
4/8/2014,447.11,459.8,446.24,453.57
4/9/2014,453.57,457.3,438.08,441.69
4/10/2014,441.69,442.46,357.57,363.12
4/11/2014,363.1,432.22,339.79,423
4/12/2014,423,439.5,413.72,423.42
4/13/2014,424.91,427.75,397.16,416.3
4/14/2014,416.29,475,408,458.5
4/15/2014,459.99,528.75,453.16,521
4/16/2014,523.1,548,494.02,529.77
4/17/2014,529.26,533.8,481.63,500.09
4/18/2014,500.09,506.97,470,483.11
4/19/2014,482.1,507.43,472.81,503.8
4/20/2014,505.18,516.53,493,500
4/21/2014,501.07,515,490,496.74
4/22/2014,497.98,504.9,485.2,490
4/23/2014,490,495.2,484.61,492
4/24/2014,491.94,505,480,502.2
4/25/2014,502.15,503.99,438.05,466.52
4/26/2014,466.71,470.96,451.07,459
4/27/2014,459.22,461.97,429.95,430
4/28/2014,430,452.16,424,442.9
4/29/2014,440.41,454.47,432.02,448
4/30/2014,448,453.99,433.08,448.85
5/1/2014,449,465.88,447.97,460.97
5/2/2014,460.97,462.99,444.51,454.5
5/3/2014,452,454.5,431,439.85
5/4/2014,439,442.83,429.55,438.04
5/5/2014,435.88,445,425,433
5/6/2014,431.64,434,420.27,428.01
5/7/2014,429,452,425.67,440
5/8/2014,441.47,450.08,437.61,437.69
5/9/2014,439.6,457.08,437.71,452.37
5/10/2014,452.78,459.24,449.79,455.39
5/11/2014,457.7,458.2,429.6,440
5/12/2014,437.67,443.77,431.56,442.5
5/13/2014,442.48,442.75,430.61,439.12
5/14/2014,439.12,449.96,438.36,446
5/15/2014,444.07,452.67,444.02,446
5/16/2014,446.27,452.41,444.5,447.31
5/17/2014,447.55,451.48,445.01,449.06
5/18/2014,449.07,451.43,444.52,446.91
5/19/2014,446.91,450,441.44,448.34
5/20/2014,448.34,500,447.14,489
5/21/2014,489,499.1,487.11,493.98
5/22/2014,493.98,530,492.65,529.99
5/23/2014,529.99,547.1,518.55,523.77
5/24/2014,523.75,529.06,515.4,528.44
5/25/2014,528.44,586.34,527.09,573.9
5/26/2014,573.5,593.48,565.58,581.88
5/27/2014,581.87,595,550.22,572.7
5/28/2014,572.7,582.26,563.45,580.66
5/29/2014,580.66,582.1,560.05,572.37
5/30/2014,572.37,629.4,568.56,621
5/31/2014,621,628.5,611,627.8
6/1/2014,627.8,683.26,618.53,630.99
6/2/2014,630.99,678,613.03,661.22
6/3/2014,662,680.99,649.61,670.14
6/4/2014,668.9,673.61,621.86,640.6
6/5/2014,640.59,669.63,639.69,661.48
6/6/2014,661.46,662.13,647.16,647.16
6/7/2014,647.16,657.13,635.88,657.13
6/8/2014,657.13,661.11,651.7,658
6/9/2014,658,659,639.93,648.83
6/10/2014,648.83,657.41,642.45,648.55
6/11/2014,648.55,652.39,615,620.5
6/12/2014,623.81,630.36,550,569.1
